Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
12,Avalanche,AVAX,$27.06,0.62%,1.53%,15.64%,"$10,985,408,658","$345,724,477
12,774,864 AVAX","406,002,079 AVAX"
14,Chainlink,LINK,$11.23,0.08%,0.22%,7.01%,"$7,039,158,042","$245,946,577
21,858,166 LINK","626,849,970 LINK"
46,VeChain,VET,$0.02388,0.18%,0.34%,14.06%,"$1,933,787,633","$16,190,946
677,956,600 VET","80,985,041,177 VET"
53,Maker,MKR,"$1,612.33",0.08%,0.32%,6.22%,"$1,423,479,263","$78,734,558
48,784 MKR","882,870 MKR"
67,Ondo,ONDO,$0.7163,0.42%,0.16%,21.10%,"$995,549,925","$504,142,779
702,916,248 ONDO","1,389,759,838 ONDO"
68,MANTRA,OM,$1.16,0.09%,0.37%,8.58%,"$974,636,333","$17,335,860
14,944,365 OM","842,499,555 OM"
72,Quant,QNT,$77.23,0.08%,4.33%,10.45%,"$932,381,233","$14,607,271
189,081 QNT","12,072,738 QNT"
111,Synthetix,SNX,$1.58,0.12%,1.01%,19.44%,"$517,034,081","$18,786,945
11,895,650 SNX","327,769,196 SNX"
122,IOTA,IOTA,$0.1387,0.21%,1.58%,15.47%,"$477,131,196","$8,729,611
62,876,976 IOTA","3,440,020,224 IOTA"
128,Axelar,AXL,$0.5664,0.09%,0.59%,18.54%,"$448,364,769","$14,602,422
25,737,696 AXL","791,621,235 AXL"
136,XDC Network,XDC,$0.02857,0.18%,0.12%,2.58%,"$426,411,672","$5,298,380
185,507,432 XDC","14,926,314,621 XDC"
155,Reserve Rights,RSR,$0.006765,0.27%,3.96%,19.57%,"$348,005,647","$17,715,726
2,616,158,316 RSR","51,438,764,433 RSR"
192,OriginTrail,TRAC,$0.5795,0.88%,5.26%,12.38%,"$238,377,822","$3,111,349
5,369,171 TRAC","412,463,783 TRAC"
197,Polymesh,POLYX,$0.2551,0.50%,1.51%,16.55%,"$226,389,229","$13,928,106
54,588,061 POLYX","887,281,383 POLYX"
247,Centrifuge,CFG,$0.3631,0.17%,0.32%,9.88%,"$182,030,911","$788,402
2,164,803 CFG","501,376,247 CFG"
257,Chromia,CHR,$0.2041,0.25%,4.45%,13.07%,"$169,835,647","$13,669,887
66,944,222 CHR","831,928,437 CHR"
261,Creditcoin,CTC,$0.4464,0.18%,0.03%,9.26%,"$168,343,831","$6,184,021
13,871,499 CTC","377,085,684 CTC"
273,Chia,XCH,$14.51,0.87%,2.46%,13.74%,"$159,861,530","$5,315,088
366,369 XCH","11,019,242 XCH"
287,Ozone Chain,OZO,$0.2389,0.12%,0.42%,0.58%,"$137,004,236","$259,302
1,086,273 OZO","573,491,638 OZO"
292,Chintai,CHEX,$0.1375,0.52%,2.89%,13.78%,"$133,265,983","$338,701
2,472,189 CHEX","969,210,617 CHEX"
294,Lisk,LSK,$0.9057,0.07%,0.11%,17.45%,"$131,726,147","$4,899,264
5,409,473 LSK","145,444,085 LSK"
310,Venus,XVS,$7.44,0.18%,0.39%,9.70%,"$121,936,649","$4,961,756
666,850 XVS","16,388,030 XVS"
313,TrueFi,TRU,$0.101,0.22%,5.39%,5.20%,"$119,049,425","$25,131,033
248,859,153 TRU","1,178,882,643 TRU"
334,Dusk,DUSK,$0.2327,1.10%,3.12%,19.96%,"$108,040,667","$10,239,213
44,044,799 DUSK","464,327,796 DUSK"
346,Propy,PRO,$1.03,0.20%,1.96%,7.76%,"$103,321,187","$2,656,635
2,572,230 PRO","100,000,000 PRO"
394,Oraichain,ORAI,$6.28,0.36%,3.33%,19.58%,"$86,773,110","$2,773,421
441,496 ORAI","13,823,700 ORAI"
407,Maple,MPL,$18.56,1.77%,0.90%,5.43%,"$82,001,217","$693,617
37,335 MPL","4,417,986 MPL"
423,Polyhedra Network,ZKJ,$1.15,0.04%,0.44%,0.19%,"$77,054,685","$5,654,769
4,931,813 ZKJ","67,169,550 ZKJ"
429,Clearpool,CPOOL,$0.1244,0.48%,2.09%,0.64%,"$75,465,927","$995,487
7,998,315 CPOOL","606,598,945 CPOOL"
450,Goldfinch,GFI,$2.38,1.07%,0.86%,9.71%,"$69,257,127","$1,158,757
484,899 GFI","29,135,286 GFI"
462,Hifi Finance,HIFI,$0.4894,0.41%,0.18%,15.88%,"$67,657,405","$8,722,658
17,805,905 HIFI","138,237,507 HIFI"
480,Polymath,POLY,$0.0677,3.12%,2.10%,3.82%,"$62,624,017","$6,739
99,493 POLY","924,998,413 POLY"
502,TokenFi,TOKEN,$0.05802,0.44%,0.56%,23.42%,"$58,018,110","$6,959,085
119,688,060 TOKEN","1,000,019,789 TOKEN"
510,Alkimi,ADS,$0.237,0.88%,0.35%,15.92%,"$56,166,134","$238,610
1,006,805 ADS","236,991,084 ADS"
511,LTO Network,LTO,$0.1297,0.33%,1.50%,12.00%,"$56,024,898","$1,574,853
12,114,998 LTO","432,040,008 LTO"
541,Ribbon Finance,RBN,$0.3983,0.93%,2.18%,25.47%,"$50,303,437","$1,382,618
3,483,060 RBN","126,287,812 RBN"
554,ORIGYN,OGY,$0.006059,0.02%,0.73%,1.71%,"$47,432,434","$206,925
34,159,081 OGY","7,828,640,875 OGY"
595,Propbase,PROPS,$0.1119,1.02%,2.77%,33.15%,"$41,369,456","$1,623,678
14,572,743 PROPS","369,751,554 PROPS"
602,Boson Protocol,BOSON,$0.3036,0.21%,8.72%,24.03%,"$40,266,995","$747,617
2,461,516 BOSON","132,645,891 BOSON"
655,Parcl,PRCL,$0.2244,2.28%,0.24%,67.45%,"$32,511,122","$26,476,702
116,700,723 PRCL","144,901,780 PRCL"
684,StrikeX,STRX,$0.03423,0.16%,3.19%,4.69%,"$29,766,147","$1,004,281
29,319,784 STRX","869,527,814 STRX"
714,NEOPIN,NPT,$0.2566,0.05%,1.31%,7.46%,"$26,894,434","$689,241
2,690,333 NPT","104,810,305 NPT"
724,Artrade,ATR,$0.01547,0.23%,13.01%,19.18%,"$25,334,874","$5,843,636
376,666,573 ATR","1,637,939,083 ATR"
730,Propchain,PROPC,$1.14,0.50%,5.50%,20.04%,"$24,918,443","$794,659
699,141 PROPC","21,919,680 PROPC"
734,Nexera,NXRA,$0.02956,1.19%,8.21%,19.11%,"$24,260,889","$154,489
5,226,859 NXRA","820,713,704 NXRA"
757,Polytrade,TRADE,$0.6051,1.77%,6.55%,13.85%,"$22,705,048","$967,778
1,613,339 TRADE","37,525,243 TRADE"
778,Opulous,OPUL,$0.07489,0.48%,5.77%,16.08%,"$21,247,017","$1,598,577
21,323,224 OPUL","283,693,726 OPUL"
789,Hathor,HTR,$0.04312,0.24%,1.51%,15.62%,"$19,721,593","$335,454
7,779,810 HTR","457,390,929 HTR"
790,Swarm Markets,SMT,$0.2401,0.56%,5.92%,6.19%,"$19,668,418","$249,702
1,037,634 SMT","81,919,573 SMT"
812,ELYSIA,EL,$0.004681,1.08%,0.98%,0.05%,"$18,774,039","$631,332
134,861,549 EL","4,010,729,784 EL"
867,Credefi,CREDI,$0.02089,0.19%,5.63%,43.99%,"$15,641,061","$515,320
24,662,510 CREDI","748,573,880 CREDI"
895,Brickken,BKN,$0.232,0.27%,6.32%,20.36%,"$14,493,503","$3,762,015
16,198,753 BKN","62,465,848 BKN"
896,Lumerin,LMR,$0.02391,0.54%,9.09%,44.26%,"$14,501,914","$282,250
11,806,341 LMR","606,615,000 LMR"
923,Electra Protocol,XEP,$0.0007715,0.08%,13.52%,16.94%,"$13,930,183","$171,381
226,158,140 XEP","18,056,743,574 XEP"
971,Comtech Gold,CGO,$84.48,0.07%,0.19%,1.65%,"$11,911,642","$641,198
7,584 CGO","141,000 CGO"
973,KlimaDAO,KLIMA,$1.49,0.15%,3.96%,39.14%,"$11,892,013","$573,081
385,039 KLIMA","7,997,365 KLIMA"
975,Blocksquare Token,BST,$0.2353,0.25%,3.05%,34.40%,"$11,865,855","$465,666
1,978,240 BST","50,434,956 BST"
1006,Three Protocol Token,THREE,$0.1295,2.11%,31.88%,34.46%,"$11,004,457","$700,408
5,414,263 THREE","85,000,000 THREE"
1043,Soil,SOIL,$0.8308,0.01%,6.27%,0.57%,"$9,661,904","$189,463
228,042 SOIL","11,630,277 SOIL"
1043,Soil,SOIL,$0.8308,0.01%,6.27%,0.57%,"$9,661,904","$189,463
228,042 SOIL","11,630,277 SOIL"
1086,BytomDAO,BTM,$0.005117,0.76%,1.69%,1.52%,"$8,393,931","$7,314
1,429,655 BTM","1,640,515,592 BTM"
1127,Stobox Token,STBU,$0.07629,0.12%,0.86%,24.88%,"$7,629,488","$161,973
2,118,879 STBU","100,000,000 STBU"
1128,Realio Network,RIO,$1.17,0.15%,5.37%,61.84%,"$7,692,921","$8,194,087
7,047,479 RIO","6,568,515 RIO"
1148,TRVL,TRVL,$0.02188,0.13%,0.63%,2.93%,"$7,247,440","$204,214
9,328,592 TRVL","331,240,882 TRVL"
1216,UBXS Token,UBXS,$0.1047,0.74%,7.30%,33.10%,"$5,982,398","$279,114
2,666,577 UBXS","57,155,070 UBXS"
1240,Landshare,LAND,$1.44,0.10%,3.46%,14.94%,"$5,594,883","$349,517
242,785 LAND","3,886,510 LAND"
1286,XDB CHAIN,XDB,$0.000283,0.38%,0.22%,2.03%,"$4,867,700","$1,255,502
4,438,334,846 XDB","17,197,670,082 XDB"
1300,Everest,ID,$0.03947,0.00%,2.38%,8.20%,"$4,606,210","$16,123
408,482 ID","116,700,000 ID"
1302,PLANET,PLANET,$0.055364,0.04%,3.99%,16.94%,"$4,567,583","$458,158
85,472,133,010 PLANET","851,450,035,658 PLANET"
1394,Cogito Finance,CGV,$0.03655,0.06%,12.78%,29.78%,"$3,537,220","$71,504
1,956,534 CGV","96,787,938 CGV"
1446,LandX Finance,LNDX,$0.3567,0.57%,0.32%,22.25%,"$2,986,600","$372,901
1,043,461 LNDX","8,372,042 LNDX"
1459,Carnomaly,CARR,$0.001831,2.06%,9.66%,47.22%,"$2,883,149","$72,709
39,718,985 CARR","1,575,000,000 CARR"
1568,Horizon Protocol,HZN,$0.01673,1.03%,0.13%,16.27%,"$2,018,954","$146,701
8,754,850 HZN","120,707,110 HZN"
1624,MBD Financials,MBD,$0.00006239,0.49%,2.06%,13.85%,"$1,636,115","$86,367
1,384,246,692 MBD","26,223,242,792 MBD"
1758,3DPass,P3D,$0.003202,0.45%,9.45%,6.35%,"$1,043,064","$29,303
9,177,757 P3D","325,726,084 P3D"
1779,Veloce,VEXT,$0.005251,0.34%,0.85%,3.57%,"$980,069","$258,740
49,315,564 VEXT","186,643,874 VEXT"
1798,Uno Re,UNO,$0.0116,0.14%,0.17%,7.82%,"$907,839","$141,417
12,196,739 UNO","78,242,153 UNO"
1810,ApeBond,ABOND,$0.005999,0.15%,1.50%,2.08%,"$865,569","$35,639
5,940,596 ABOND","144,282,792 ABOND"
1818,Alvara Protocol,ALVA,$0.06106,0.58%,1.59%,8.90%,"$829,787","$340,715
5,588,773 ALVA","13,588,879 ALVA"
2150,Acquire.Fi,ACQ,$0.00711,0.12%,2.80%,5.90%,"$249,133","$129,482
18,199,995 ACQ","35,041,183 ACQ"
2169,LABS Group,LABS,$0.0001048,0.17%,3.45%,3.19%,"$232,397","$79,658
760,316,128 LABS","2,216,879,594 LABS"
2425,Ekta,EKTA,$0.001681,0.01%,9.69%,6.84%,"$58,454","$3,098
1,842,884 EKTA","34,769,778 EKTA"
2991,IX Swap,IXS,$0.5976,0.58%,13.01%,7.16%,"$107,813,619","$606,577
1,012,709 IXS","180,000,000 IXS"
3164,Defactor,FACTR,$0.04436,0.28%,4.32%,3.35%,"$13,312,244","$310,401
6,995,089 FACTR","300,000,000 FACTR"
3190,Work X,WORK,$0.123,0.61%,15.29%,33.76%,"$2,303,147","$289,164
2,374,180 WORK","18,909,998 WORK"
3494,IPMB Token,IPMB,$64.70,0.01%,1.71%,3.58%,"$228,739,651","$139,433
2,155 IPMB","3,535,351 IPMB"
3563,CANTO,CANTO,$0.01923,0.64%,3.56%,12.99%,"$8,148,294","$125,439
6,518,613 CANTO","423,437,418 CANTO"
3609,VaporFund,VPR,$0.002365,0.05%,6.11%,8.52%,"$189,582","$115,244
48,725,087 VPR","80,155,556 VPR"
3656,BilliCat,BCAT,$0.003144,0.02%,6.25%,24.65%,"$314,401","$104,218
33,148,220 BCAT","100,000,000 BCAT"
3703,Decentralized ETF,DETF,$0.03198,0.04%,2.23%,3.68%,"$2,241,132","$96,767
3,022,443 DETF","70,000,000 DETF"
3784,HOME3,HTS,$0.02906,2.49%,9.09%,202.85%,"$2,164,683","$81,423
2,802,262 HTS","74,500,000 HTS"
3871,AssetMantle,MNTL,$0.0008829,0.46%,3.25%,1.88%,"$1,465,800","$66,750
75,596,899 MNTL","1,660,075,706 MNTL"
4075,LEOX,LEOX,$0.1856,0.51%,1.41%,0.18%,"$2,991,086","$43,858
235,238 LEOX","16,043,095 LEOX"
4604,STIMA,STIMA,$1.02,1.05%,0.21%,1.36%,"$32,199,490","$12,433
12,232 STIMA","31,678,640 STIMA"
4655,Angle,ANGLE,$0.02242,1.74%,2.67%,17.96%,"$298,645","$11,053
489,942 ANGLE","13,237,881 ANGLE"
4748,TMN Global,TMNG,$0.0125,0.01%,8.79%,21.34%,"$3,124,626","$8,852
708,283 TMNG","250,000,000 TMNG"
4951,Domani Protocol,DEXTF,$0.185,0.01%,4.04%,7.10%,"$16,382,913","$5,988
32,377 DEXTF","88,576,908 DEXTF"
4952,Tiamonds,TIA,$0.004904,1.00%,25.01%,9.55%,"$964,874","$5,982
1,219,758 TIA","196,745,437 TIA"
5168,Crafting Finance,CRF,$0.0007511,0.07%,0.08%,0.75%,"$46,598","$3,894
5,180,702 CRF","62,000,000 CRF"
5382,Comdex,CMDX,$0.004611,7.28%,23.80%,11.96%,"$872,919","$2,406
513,258 CMDX","186,189,910 CMDX"
5391,OSEAN,OSEAN,$0.0009536,0.00%,8.29%,22.47%,"$953,597","$2,393
2,509,717 OSEAN","1,000,000,000 OSEAN"
5551,NAOS Finance,NAOS,$0.009372,0.58%,1.09%,15.79%,"$789,195","$1,733
184,923 NAOS","84,208,922 NAOS"
6088,Lucidao,LCD,$0.005368,0.00%,1.34%,5.08%,"$1,417,148","$526
97,992 LCD","264,000,000 LCD"
6850,Grand Base,GB,$0.001608,0.92%,1.39%,21.07%,"$16,812","$99
61,793 GB","10,454,285 GB"
7049,Barter,BRTR,$0.00164,0.02%,0.45%,10.71%,"$28,696","$59
36,029 BRTR","17,500,000 BRTR"
7100,Evrmore,EVR,$0.0005654,0.08%,18.88%,18.99%,"$4,591,543","$50
87,742 EVR","8,120,921,920 EVR"
7129,Curio Gas Token,CGT,$0.01241,0.00%,1.33%,2.81%,"$1,241,258","$47
3,750 CGT","100,000,000 CGT"
